index,quote,author
145,Where love rules~ there is no will to power; and where power predominates~ love is lacking. The one is the shadow of the other.,Carl Jung
146,I'd rather regret the things I've done than regret the things I haven't done.,Lucille Ball
147,Let us always meet each other with smile~ for the smile is the beginning of love.,Mother Teresa
148,Be aware of monotony; it's the mother of all the deadly sins.,Edith Wharton
149,When ordinary people decide to do extraordinary things they transform their lives and the lives of others around them.,Oprah Winfrey
150,Your inside person doesn't age. Your inside person is soul~ is heart~ in the eternal now~ the ageless~ the old~ the young~ all the ages you've ever been.,Anne Lamott
151,People who are crazy enoug to think they can change the world are the ones who do.,Rob Siltanen
152,To succeed in life~ you need three things: a wishbone~ a backbone~ and a funny bone.,Reba McIntire
153,If you don't risk anything~ you risk even more.,Erica Jong
154,Magic is believing in yourself; if you can do that~ you can make anything happen.,Johann Wolfgang von Goethe
155,The way we talk to children becomes their inner voice.,Peggy O'Mara
156,The only one who makes no mistakes is the one who never does anything.,Theodore Roosevelt
157,To me~ freedom entitles you to do something~ not to not do something.,Shel Silverstein
158,If you don't like the road you're walking~ start paving another one.,Dolly Parton
159,If you think taking care of yourself is selfish~ change your mind. If you don't you're simply ducking your responsibilities.,Ann Richards
160,Learn from the mistakes of others. You can't possibly live long enough to make them all yourself.,Eleanor Roosevelt
161,At times~ our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lighted the flame within us.,Albert Schweitzer
162,Done is better than perfect.,Sheryl Sandberg
163,One of the secrets to staying young is to always do things you don't know how to do~ to keep learning.,Ruth Reichl
164,Vulnerability is not knowing victory or defeat~ it's understanding the necessity of both; it's engaging. It's being all in.,Brene Brown
165,It took me a long time to develop a voice~ and now that I have it~ I am not going to be silent.,Madeleine Albright
166,If you get~ give. If you learn~ teach.,Maya Angelou
167,You can imprison a man~ but not an idea. You can exile a man~ but not an idea. You can kill a man~ but not an idea.,Benazir Bhutto
168,It is useless to meet revenge with revenge; it will heal nothing.,J.R.R. Tolkien
169,What you do makes a difference~ and you have to decide what kind of difference you want to make.,Jane Goodall
170,Tenderness and kindness are not signs of weakness and despair~ but manifestations of strength and resolution.,Khalil Gibran
171,Acknowledging the good that you already have in your life is the foundation for all abundance.,Eckhart Tolle
172,When enough people come together~ then change will come and we can achieve almost anything. So instead of looking for hope - start creating it.,Greta Thunberg
173,If you haven't found it yet~ keep looking. Don't settle. As with all matters of the heart~ you'll know when you find it. And~ llike any great relationship~ it just gets better and better as the years roll on.,Steve Jobs
174,Nobody has ever measured~ not even poets~ how much the heart can hold.,Zelda Fitzgerald
175,I have apologized a lot and been apologized to...but I've never kept my mouth shut and then wished I hadn't.,Brandi Carlile
176,You will soon discover that in matters of the heart~ memories are much kinder than reality.,Judith McNaught
177,A loving heart is the truest wisdom.,Charles Dickens
178,Maturity is the ability to joyfully live in an imperfect world.,Richard Rohr
179,Listening is where love begins: listening to ourselves and then to our neighbors.,Fred Rogers
180,Courage is grace under pressure.,Ernest Hemingway
181,We are born makers. We move what we're learning from our heads to our hearts through our hands.,Brene Brown
182,Each of us is put here is this time and this place to decide the future of humankind. Did you think you were put here for something less?,Chief Arvol Looking Horse
183,The heart of a fool is in his mouth~ but the mouth of a wise person is in their heart.,Benjamin Franklin
184,Creating is no problem - problem solving is not creating.,Robert Fritz
185,When we focus on our gratitude~ the tide of disappointment goes out and the tide of love rushes in.,Kristin Armstrong
186,You cannot do kindness too soon~ for you never know how soon it will be too late.,Ralph Waldo Emerson
187,Have the courage to follow your heart and intuition. They somehow already know whatyou truly want to become. Everything else is secondary.,Steve Jobs
188,The real gift of gratitude is that the more grateful you are the more present you become.,Robert Holden
189,We are not here to see through one another~ but to see on another.,Anne Lamott
190,Sometimes the most scenic roads in life are the detours you didn't mean to take.,Angela N. Blount
191,To love ourselves and support each other in the process of becoming real is perhaps the greatest single act of daring greatly.,Brene Brown
192,Dreams are matters of the heart~ things that pull you along as if they have hooked ou someplace deep inside.,Jeanne Marie Laskas
193,Never limit yourself because of others' limited imagination; never limit others because of your own limited imagination.,Mae Jemison
194,In prayer it is better to have a heart without words than words without a heart.,John Bunyan
195,Uncertainty is the first step toward self-determination. Courage comes next.,James Luceno
196,Take away love and our earth is a tomb.,Robert Browning
197,Authority can be given~ but leadership must be earned.,Princess Leia
198,How wonderful it is that nobody need wait a single moment before starting to improve the world.,Anne Frank
199,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.,Lao Tzu
200,One cannot and must not try to erase the past merely because it does not fit the present.,Golda Meir
201,Each friend represents a world in us~ a world not born until they arrive~ and it is only by this meeting that a new world is born.,Anais Nin
202,Vulnerability sounds like truth and feels like courage. Truth and courage aren't always comfortable~ but they're never weakness.,Brene Brown
203,Living in a state of gratitude is the gateway to grace.,Arianna Huffington
204,Be more concerned with your character than your reputation~ because your character is what you really are~ while your reputation is merely what others think you are.,John Wooden
205,You have the power to change your life. Just start with changing your thoughts.,Mel Robbins
206,Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this~ it would change the earth.,William Faulkner
207,A thankful heart is not only the greatest virtue~ but the parent of all the other virtues.,Cicero
208,Your attitude~ not your aptitude~ will determine your altitude.,Zig Ziglar
209,A strong nation~ like a strong person~ can afford to be gentle~ firm~ thoughtful~ and restrained. It can afford to extend a helping hand to others. It's a weak nation~ like a weak person~ that must behave with bluster and boasting and rashness and other signs of insecurity.,Jimmy Carter
210,Life is like riding a bicycle. To keep your balance~ you must keep moving.,Albert Einstein
211,The difference between stupidity and genius is that genius has its limits.,Albert Einstein
212,A journey is like marriage. The certain way to be wrong is to think you control it.,John Steinbeck
213,Healing yourself is connected with healing others.,Yoko Ono
214,I have seen that in any great undertaking it is not enough for a man to depend simply upon himself.,Shooter Teton Sioux
215,Love and compassion are necessities~ not luxuries. Without them humanity cannot survive.,Dalai Lama
216,Gratitude makes sense of our past~ brings peace for today~ and creates a vision for tomorrow.,Melody Beattie
217,Grown men can learn from very little children for the hearts of the little children are pure. Therefore~ the Great Spirit may show to them many things which older people miss.,Black Elk of Oglala Lakota Sioux
218,Human kindness has never weakened the stamina or softened the fiber of a free people. A nation does not have to be cruel to be tough.,Franklin D. Roosevelt
219,When you are happy~ you can forgive a great deal.,Princess Diana
220,Surround yourself with the dreamers~ the doers~ the believers and thinkers; but most of all surround yourself with those who see greatness within you even when you don't see it yourself.,Simone Biles
221,Beginning today~ treat everyone you meet as if they were going to be dead by midnight. Extend to them all the care~ kindness and understanding you can muster~ and do it with no thought of any reward. Your life will never be the same again.,Og Mandino
222,We do not think ourselves into new ways of living~ we live ourselves into new ways of thinking.,Richard Rohr
223,Grace means that all of your mistakes now serve a purpose instead of serving shame.,Brene Brown
224,Fight for the things that you care about~ but do it in a way that will lead others to join you.,Ruth Bader Ginsburg
225,Forgiveness means it finally becomes unimportant that you hit back.,Anne Lamott
226,Do things for people not because of who they are or what they do in return~ but because of who you are.,Harold S. Kushner
227,We have the power to believe where others deny~ to hope where others despair~ to love where others hurt.,Brennan Manning
228,Setting goals is the first step into turning the invisible into the visible.,Tony Robbins
229,Instructions for living a life. Pay attention. Be astonished. Tell about it.,Mary Oliver
230,The secret of change is to focus all of your energy~ not on fighting the old~ but on building the new.,Socrates
231,Healing the soul is not about forgetting the past~ it's about learning from it.,Maya Angelou
232,Don't try to make life a mathmatics problem with yourself in the center and everything coming out equal. When you are good~ bad things can still happen. And if you are bad~ you can still be lucky.,Barbara Kingsolver
233,I think the first step is to understand that forgiveness does not exonerate the perpetrator. Forgiveness liberates the victim. It's a gift you give yourself.,T.D. Jakes
234,To share your weakness is to make yourself vulnerable; to make yourself vulnerable is to show your strength.,Crissi Jami
235,Never say never because limits~ like fears~ are often just illusions.,Michael Jordan
236,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.,Dr. Suess
237,There are two ways of spreading light: to be the candle or the mirror that reflects it.,Edith Wharton
238,You only live once~ but if you do it right~ once is enough.,Mae West
239,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,Roy T. Bennett
240,The only thing evil can't stand is forgiveness.,Fred Rogers
241,To heal is to touch with love that which we previously touched with fear.,Stephen Levine
242,If you think adventure is dangerous~ try routine. It's lethal.,Paulo Coelho
243,Courage is the most important of all the virtues because without courage~ you can't practice any other virtue consistently.,Maya Angelou
244,Gratitude turns what we have into enough.,Aesop
245,Though nobody can go back and make a new beginning…Anyone can start over and make a new ending.,Chico Xavier
246,If we wait until we are ready~ we will be waiting for the rest of our life.,Lemony Snicket
247,If there's a single lesson that life teaches us~ it's that wishing doesn't make it so.,Lev Grossman
248,The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand
249,Grown men may learn from very little children~ for the hearts of little children are pure~ and~ therefore~ the Great Spirit may show them many things which we miss.,Black Elk
250,Straight roads do not make skillful drivers.,Paula Coelho
251,The most common way people give up their power is by thinkingn they don't have any.,Alice Walker
252,Please think about your legacy~ because you're writing it every day.,Gary Vaynerchuk
253,The real voyage of discovery consists not in seeking new landscapes~ but in having new eyes.,Marcel Proust
254,I didn't lose the gold. I won the silver.,Michelle Kwan
255,Love blurs your vision; but after it recedes~ you can see more clearly than ever.,Margaret Atwood
256,Postive people have negative thoughts~ too. They just don't allow those thoughts to grow too big. And they make sure to stop them from following them around all day.,Karen Salmansohn
257,You cannot wake a person who is pretending to be asleep.,Navajo Proverb
258,When nothing is sure~ everything is possible.,Margaret Drabble
259,You are never stronger…than when you land on the other side of despair.,Zadie Smith
260,When we strive to become better than we are~ everything around us becomes better too.,Paulo Coelho
261,We will be known forever by the tracks we leave.,Dakota Proverb
